,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
strength,0.3175019459801319,0.1244872498562734,-0.07085278032920513,-0.053000733311598325,0.49359298055367523,0.09177200985556708,-0.035499718674082754,-0.11193596730159613,-0.11343464557359215,-0.056808948184710086,0.06676393254177045,0.029210347100967118,-0.20876272384359368,-0.10925774972259293,-0.34723287923740825,0.23625437441451863,-0.32332769608136186,0.17642458323923713,0.26185130652678285,0.23688015913831428,1.0,0.0016233145188364296,0.5070628387594335,0.3416612466711003,-0.025686433924279276,-0.037448289567595,0.058952816676736505,0.35602009229130965,0.3658020407610984,0.32481858316021306,-0.07185547685200865,-0.08481788311212478,-0.06212067666104125,-0.08559575914766107,-0.0848662293619289
long_shots,0.392543783120053,0.3127729641472739,0.7165521360831902,0.8066717553746201,0.4067592255465166,0.7296670383536995,0.8143158783069468,0.8071028899830779,0.7833565185139272,0.7736883055721856,0.5758063075965847,0.7931318606382879,0.5136461151836479,0.48980773973884983,0.5541319797663395,0.41380616912829504,0.43940875153277714,0.8381274609417587,0.013415189952361158,0.47614176176847667,0.0016233145188364296,1.0,0.23647434107797827,0.10870774422884986,0.7713515790874069,0.7291967833723462,0.7135538387845387,-0.010543092730621168,0.05592016172080842,0.024060481952364935,-0.5456991695036477,-0.5390422665683343,-0.33626135157955545,-0.5431673775456121,-0.5452156463130453
aggression,0.3232737282956472,0.1629527660082714,0.32482092621319986,0.04447525101996443,0.5772194877590627,0.4551038168065068,0.12755908495125526,0.20452201293598743,0.20336216035336296,0.2325723703421446,0.4574095935352863,0.3678965879675665,0.10493947899049215,0.14982408351188184,0.016827183796209382,0.3306340365356014,0.11221863590254817,0.366522739708579,0.27642820931062784,0.5419744296056966,0.5070628387594335,0.23647434107797827,1.0,0.6635620027906906,0.2006090680851543,0.2765765755165792,0.21872613509343372,0.6532685551458438,0.6828179932819749,0.6549306721439639,-0.4328961196584229,-0.4310786224864847,-0.26903049491026454,-0.4296847664212914,-0.43226010084796707
interceptions,0.24999958321812643,0.16440353547324188,0.3071958122892368,-0.15125039559241601,0.4535604398258933,0.42594237696909065,-0.037591832374879196,0.10751698277321688,0.1366960589404417,0.17751806219220995,0.5376463268865463,0.2762524447854287,0.02122315634296124,0.05342536748752615,-0.04251997261496433,0.24504358802255954,0.09123448556107865,0.18964861265013902,0.19501020659650925,0.478769149355096,0.3416612466711003,0.10870774422884986,0.6635620027906906,1.0,0.0488679209403445,0.23496978771193047,0.0791606945271429,0.8343176625828495,0.8472024862071834,0.824205567636816,-0.37493299752035025,-0.33536643055131155,-0.0885790523987566,-0.33014222964485473,-0.3346313371810907
positioning,0.3692810503541308,0.3269164862636792,0.6841539742531454,0.8026596616606511,0.40993610062600866,0.6783899193259924,0.7782570582757516,0.7975055524038748,0.7199504947892907,0.6555688986716001,0.4821260736755239,0.7795164236674154,0.5847897000032362,0.5670028101591288,0.5874925147528305,0.4087863566414711,0.49578382124648135,0.7061304751751795,0.05981309668058178,0.5015047954219523,-0.025686433924279276,0.7713515790874069,0.2006090680851543,0.0488679209403445,1.0,0.7399904156231779,0.7534209702034401,-0.07390884060422216,-0.013383942826475027,-0.040640010567387655,-0.5464997681886151,-0.5052712066328631,-0.23085889308995125,-0.5108535463126539,-0.5153788060011781
vision,0.43091135685414395,0.3786884258800152,0.6929534805869244,0.6511734958320609,0.337306017234579,0.765127836234104,0.6896086687850084,0.7324720807489236,0.7266657553281349,0.6970641081428979,0.6691564092989979,0.771726789324991,0.46925732057222863,0.4349142676818809,0.557315157343049,0.4513657232074139,0.5068197150583948,0.6464581797386583,0.018214991409974388,0.5055716587184923,-0.037448289567595,0.7291967833723462,0.2765765755165792,0.23496978771193047,0.7399904156231779,1.0,0.665198340813244,0.08153484828074514,0.1461303856202579,0.11993908216909312,-0.5020458374645709,-0.4609822071119306,-0.19948098709019346,-0.46425267229612294,-0.46980096430077073
penalties,0.39265121278860615,0.31518549750637087,0.5736795383764308,0.7247884367395805,0.4315844932365845,0.6116278830176879,0.7116527642881699,0.6620943793918553,0.6482828844505162,0.6681883534908576,0.4769678968424695,0.6830604922472393,0.4278970203128293,0.4111175692978235,0.4410076655043628,0.3892197047418244,0.39034928460465435,0.6798023341601513,0.058597078888616864,0.39882859568844226,0.058952816676736505,0.7135538387845387,0.21872613509343372,0.0791606945271429,0.7534209702034401,0.665198340813244,1.0,-0.04175413347106063,0.007122690717770777,-0.028841878489904417,-0.4692522058366807,-0.4340411554585406,-0.186310227568257,-0.4384326595203341,-0.44241196434858643
marking,0.13331629843638096,0.055202531974902665,0.23603056134061404,-0.28430218017450676,0.4612034341733527,0.35062465759968153,-0.16894944791377275,0.005349077249992756,0.034087978908501466,0.0744950924594279,0.44181512384385196,0.18965593690876426,-0.033258275257193846,0.006942447049009196,-0.12540548549812702,0.12381859542052111,0.03784648323571264,0.09465714478335935,0.19414575266019352,0.41741432559246533,0.35602009229130965,-0.010543092730621168,0.6532685551458438,0.8343176625828495,-0.07390884060422216,0.08153484828074514,-0.04175413347106063,1.0,0.9503513390959925,0.9375329346130764,-0.38311622193742,-0.3770979381250391,-0.2014314025845494,-0.3712794881123836,-0.37340038713422524
standing_tackle,0.1652776212609291,0.08333314328452697,0.2861158920064044,-0.22937872709647666,0.48027008321621056,0.41634520412502996,-0.1069335259613325,0.06827073746575855,0.09560594863222258,0.13471185944482622,0.49644649718063216,0.25347403129405466,-0.005241056514100666,0.035051634375156654,-0.08988641537523424,0.1599685273556713,0.06548923761526972,0.1563933956989728,0.18830857426237502,0.4597070773133835,0.3658020407610984,0.05592016172080842,0.6828179932819749,0.8472024862071834,-0.013383942826475027,0.1461303856202579,0.007122690717770777,0.9503513390959925,1.0,0.9530992752852608,-0.41918469088934945,-0.41831933217179973,-0.24362350739320154,-0.4127735616262942,-0.41575245720827436
sliding_tackle,0.12931080754662602,0.06442676120236335,0.27585219656348803,-0.26089753824949663,0.441490219624574,0.3813587304041827,-0.12646024801036315,0.046233579934677936,0.08155693351475687,0.10747162494326905,0.4622171225840092,0.22198434219453286,0.001913339466909582,0.040350022775910405,-0.07952657258160421,0.13786675569116053,0.0769661881929198,0.11839231401382287,0.1995141602319543,0.4373707414157235,0.32481858316021306,0.024060481952364935,0.6549306721439639,0.824205567636816,-0.040640010567387655,0.11993908216909312,-0.028841878489904417,0.9375329346130764,0.9530992752852608,1.0,-0.4005807159649126,-0.3928471865495008,-0.21213939598536055,-0.3871883386655549,-0.389813302107062
gk_diving,0.027373016635260646,-0.01222607355521532,-0.6047866435030437,-0.4796877092235051,-0.665960067234304,-0.694221887827091,-0.5085754542170132,-0.6542603776459481,-0.5570002457071064,-0.49877383545118525,-0.4623505318112694,-0.7417867332522792,-0.4820334227672116,-0.4985102055461348,-0.3889992528505022,-0.07444223177539679,-0.3863274437835361,-0.5844406519496613,-0.03877863143414471,-0.5536733985523543,-0.07185547685200865,-0.5456991695036477,-0.4328961196584229,-0.37493299752035025,-0.5464997681886151,-0.5020458374645709,-0.4692522058366807,-0.38311622193742,-0.41918469088934945,-0.4005807159649126,1.0,0.9267695280980741,0.5809897398147142,0.9279232952173777,0.9366697995842785
gk_handling,0.005997244136969187,0.0054667800217341475,-0.5959617040303867,-0.46554336805212115,-0.6494194759402433,-0.6899599436904619,-0.48669909029839264,-0.6508617312446916,-0.5455854807313717,-0.4921272214000113,-0.46517128073536984,-0.7328668376752989,-0.4659357628603837,-0.4807142677232451,-0.3805136211866007,-0.0806191139963489,-0.3623676426706255,-0.58906232082808,-0.03794584384867181,-0.542810269809446,-0.08481788311212478,-0.5390422665683343,-0.4310786224864847,-0.33536643055131155,-0.5052712066328631,-0.4609822071119306,-0.4340411554585406,-0.3770979381250391,-0.41831933217179973,-0.3928471865495008,0.9267695280980741,1.0,0.7446196590278522,0.9660054896860897,0.9661182511535736
gk_kicking,0.028312912829651243,0.09148935537501485,-0.35522507866483893,-0.29131047812319455,-0.40101526998045534,-0.4208071208188128,-0.2786869099448114,-0.4312047835044656,-0.333139422462717,-0.2780853548416759,-0.2584358716807099,-0.464225272165145,-0.278483729152522,-0.28515988285311367,-0.24385268246391312,-0.034032870552074046,-0.1829768345762612,-0.39734856505747906,-0.015847207926256632,-0.31858546418301825,-0.06212067666104125,-0.33626135157955545,-0.26903049491026454,-0.0885790523987566,-0.23085889308995125,-0.19948098709019346,-0.186310227568257,-0.2014314025845494,-0.24362350739320154,-0.21213939598536055,0.5809897398147142,0.7446196590278522,1.0,0.7437088943539143,0.7373007797711024
gk_positioning,0.0072792564792940675,0.004079980593859124,-0.5979988443707578,-0.47116896053138657,-0.6492600084359735,-0.6911543374767205,-0.49071997090384784,-0.6537725851094559,-0.5504949806024028,-0.49475877190073275,-0.4666381466862379,-0.7353550626733947,-0.4683473751248247,-0.4849861863208332,-0.38324634104942124,-0.0790058091611982,-0.36391817188075887,-0.591609456253376,-0.03669828487571633,-0.5418724784319895,-0.08559575914766107,-0.5431673775456121,-0.4296847664212914,-0.33014222964485473,-0.5108535463126539,-0.46425267229612294,-0.4384326595203341,-0.3712794881123836,-0.4127735616262942,-0.3871883386655549,0.9279232952173777,0.9660054896860897,0.7437088943539143,1.0,0.9664851213341117
gk_reflexes,0.007205947055745857,0.00470311040264354,-0.6019071932253944,-0.4736466111137594,-0.6527618396688535,-0.6933361849139009,-0.49275489604672434,-0.6564139595758625,-0.5521320908740304,-0.4963278678902363,-0.46785221226187,-0.7382575228473623,-0.4697176715340594,-0.48643368417703303,-0.3837566175328743,-0.07902878737288248,-0.3663138463067859,-0.5937588025107864,-0.034665080510490616,-0.547140873112605,-0.0848662293619289,-0.5452156463130453,-0.43226010084796707,-0.3346313371810907,-0.5153788060011781,-0.46980096430077073,-0.44241196434858643,-0.37340038713422524,-0.41575245720827436,-0.389813302107062,0.9366697995842785,0.9661182511535736,0.7373007797711024,0.9664851213341117,1.0
